gaussian 0: scale = 7471.52554, mean = -0.00123, width = 0.0004
gaussian 1: scale = 10207.93984, mean = 0.00111, width = 0.00026
gaussian 2: scale = 4499.68654, mean = 0.00145, width = 0.0009
