gaussian 0: scale = 5429.82893, mean = -0.00133, width = 0.00031
gaussian 1: scale = 8784.71819, mean = 0.00108, width = 0.00027
gaussian 2: scale = 3496.15549, mean = 0.00163, width = 0.00076
gaussian 3: scale = 1928.47363, mean = -0.00065, width = 0.00051
